,Date,Country,City,State,Company,Type,Keywords
140,2022-02-08,Japan,Ichinomiya,Ichinomiya,,In process of analysis,"Aichi, Healthcare,Clinic, Hospital,総合大雄会病院 (Daiyukai General Hospital)"
141,2022-02-08,Slovenia,Ljubljana,Ljubljana,Media company,In process of analysis,Pro PLUS / Pop TV
142,2022-02-08,USA,Missing,Missing,Donation,In process of analysis,GiveSendGo
143,2022-02-09,Croatia,Zagreb,Zagreb,Mobile phone provider,In process of analysis,A1 Hrvatska
144,2022-02-09,Japan,Tokyo,Tokyo,Pharmaceuticals/Cosmetics/Food,In process of analysis,"Groceries, Food,Consumer goods,Medicaments, Medicines, Pharmaceutical,Kracie"
145,2022-02-09,Portugal,Paço de Arcos,Paço de Arcos,Media company,In process of analysis,Trust in News
146,2022-02-09,USA,Hays KS,KS,School district,In process of analysis,"Kansas,Hays USD 489"
147,2022-02-09,France,Lyon,Lyon,Online magazine,In process of analysis,MacGeneration
148,2022-02-10,France,Gien,Gien,Manufacturer,In process of analysis,"Centre-Val de Loire, Département Loiret, Consumer goods,Faïencerie de Gien"
149,2022-02-10,Poland,Pajęczno,Pajęczno,Hospital,Ransomware,"Województwo łódzkie, Healthcare,Samodzielny Publiczny Zespół Opieki Zdrowotnej w Pajęcznie (SPZOZ Pajęczno)"
150,2022-02-10,Portugal,Lisbon,Lisbon,Medical laboratories,In process of analysis,"Healthcare,Grupo Germano de Sousa (GGS)"
151,2022-02-10,USA,Missing,Missing,Government,In process of analysis,"Administration, Authority, Government, Public sector"
152,2022-02-10,USA,Missing,Missing,Companies,"Phishing, Spoofed website","Finance, Money"
153,2022-02-11,Czech Republic,Praha,Praha,TV station,DDoS attack,Česká televize (ČT)
154,2022-02-11,Germany,Ulm,BW,Public transit association,In process of analysis,"Baden-Württemberg, Transportation,Rapid Transit, Mass Transit, Public Transport,Donau-Iller-Nahverkehrsverbund-GmbH (DING),Baden-WUrttemberg"
155,2022-02-11,France,Cachan,Cachan,Engineering school,In process of analysis,"Île-de-France, Département Val-de-Marne, College, University, Research,EPF Ecole d'ingénieurs"
156,2022-02-12,Turkey,Istanbul,Istanbul,Municipality,In process of analysis,"Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall,Şişli Belediyesi"
157,2022-02-12,USA,Lexington MA,MA,Telecommunications,In process of analysis,"Massachusetts,iBasis"
158,2022-02-12,USA,Santa Clara CA,CA,American Football,Ransomware,"California,San Francisco 49ers"
159,2022-02-12,Canada,Mississauga ON,ON,Technology,Ransomware,"Ontario,Panasonic Canada Inc."
160,2022-02-14,Finland,Missing,Missing,Hotels,In process of analysis,"Travel, Tourism"
161,2022-02-14,Mauritius,Port Louis,Port Louis,Airline,In process of analysis,"Transportation,Airline,Aviation,Air Mauritius"
162,2022-02-14,Poland,Warsaw,Warsaw,Air ambulance,In process of analysis,"Healthcare,Transportation,Emergency service, Rescue,Airline,Aviation,Lotnicze Pogotowie Ratunkowe"
163,2022-02-14,USA,Missing,Missing,Liquefied natural gas (LNG),In process of analysis,
164,2022-02-14,USA,Centralia WA,WA,Community College,Ransomware,"Washington, Lewis County,Centralia College"
165,2022-02-14,USA,Missing,Missing,Donation,In process of analysis,GiveSendGo
166,2022-02-14,Germany,Werdohl,NW,Mechanical engineering,In process of analysis,"North Rhine-Westphalia, Märkischer Kreis, Lüdenscheid,Kracht"
167,2022-02-14,Germany,Hamburg,HH,Waste management,In process of analysis,"Disposal, Utility,Otto Dörner,Otto DOrner"
168,2022-02-15,India,New Delhi,New Delhi,Government television,In process of analysis,"Government,Administration, Authority, Government, Public sector,Sansad TV"
169,2022-02-15,Ukraine,Kyiv,Kyiv,Bank,In process of analysis,"Finance, Money,ПриватБанк (PrivatBank)"
170,2022-02-15,Ukraine,Kyiv,Kyiv,Bank,DDoS attack,"Finance, Money,Ощадбанк (Sberbank)"
171,2022-02-15,Ukraine,Kyiv,Kyiv,Ministry of Defense,DDoS attack,"Armed Forces, Military,Міністерство оборони України"
172,2022-02-16,Brazil,São Paulo,São Paulo,Housing,Ransomware,"Real estate,Gafisa"
173,2022-02-16,Germany,Achern,BW,Law firm,In process of analysis,"Baden-Württemberg, Justice, Legal,Schultze & Braun,Baden-WUrttemberg"
174,2022-02-16,Japan,Hiroshima,Hiroshima,Prefecture,DDoS attack,"Administration, Authority, Government, Public sector"
175,2022-02-16,USA,Helena–West Helena AR,AR,Community College,Ransomware,"Arkansas,Phillips Community College of the University of Arkansas (PCCUA)"
176,2022-02-16,Australia,Clayton VIC,VIC,Practices,In process of analysis,"Victoria, Healthcare,Australian Clinical Labs Limited (ACL) / Medlab Pathology"
177,2022-02-17,Switzerland,Neuchâtel NE,NE,University,In process of analysis,"Canton de Neuchâtel, College, University, Research,Université de Neuchâtel"
178,2022-02-17,Japan,Kawasaki,Kawasaki,Houshold appliances,In process of analysis,"Kanagawa, Consumer goods,東芝ライフスタイル株式会社 (Toshiba Lifestyle Products & Services)"
179,2022-02-18,Portugal,Lisbon,Lisbon,Ministry of Foreign Affairs,In process of analysis,"Government,Administration, Authority, Government, Public sector,Ministério dos Negócios Estrangeiros (MNE)"
180,2022-02-18,USA,Houston TX,TX,Medical emergency service,In process of analysis,"Texas, Healthcare,Emergency service, Rescue,Memorial Village Emergency Room"
181,2022-02-19,Brazil,Campinas,Campinas,Research center,In process of analysis,"Research and Development,Centro Nacional de Pesquisa em Energia e Materiais (CNPEM)"
182,2022-02-19,Brazil,Rio de Janeiro,Rio de Janeiro,Online store,In process of analysis,"Submarino, Americanas.com"
183,2022-02-19,USA,Ventura CA,CA,Hospital,Ransomware,"California, Ventura County, Healthcare,Clinic, Hospital,Livingston Memorial"
184,2022-02-20,Australia,Newcastle NSW,NSW,Cruises,In process of analysis,"New South Wales, Travel, Tourism,Boats, Martime, Ships,Scenic Group"
185,2022-02-20,Brazil,Vitória,ES,Labor court,In process of analysis,"Espírito Santo, Administration, Authority, Government, Public sector,Justice, Legal,Tribunal Regional do Trabalho do Espírito Santo (TRT-ES)"
186,2022-02-20,Russia,Missing,Missing,Food delivery service,In process of analysis,"Retail,Яндекс Еды (Yandex Food)"
187,2022-02-20,Sweden,Lund,Lund,Technology,In process of analysis,"Skåne län,Axis Communications AB,Skåne lAn"
188,2022-02-20,USA,Seattle WA,WA,Logistics,In process of analysis,"Washington, King County, Logistics,Expeditors International of Washington, Inc."
189,2022-02-20,USA,New York City NY,NY,NFT marketplace,Phishing,"New York,OpenSea / Ozone Networks Inc."
190,2022-02-21,Canada,Winnipeg MB,MB,Packaging,In process of analysis,"Manitoba,Winpak"
191,2022-02-21,France,Pont-à-Mousson,Pont-à-Mousson,Architecture firm,Ransomware,"Grand Est, Département Meurthe-et-Moselle,Dix7 architecture"
192,2022-02-21,Mozambique,Missing,Missing,Government,In process of analysis,"Government,Administration, Authority, Government, Public sector"
193,2022-02-21,Spain,Barcelona,Barcelona,Hospital,In process of analysis,"Catalonia, Healthcare,Hospital Vall d'Hebron"
194,2022-02-21,India,Mumbai,Mumbai,Container port,In process of analysis,"Transportation,Logistics,Ports, Harbor, Harbour,Jawaharlal Nehru Container Terminal (JNPCT)"
195,2022-02-21,United Arab Emirates,Dubai,Dubai,Schools,In process of analysis,GEMS Education
196,2022-02-23,Italy,Naples,Naples,Mass transit,Ransomware,"Campania, Transportation,Italia,Rapid Transit, Mass Transit, Public Transport,Railway,Ente Autonomo Volturno (EAV)"
197,2022-02-23,Ukraine,Kyiv,Kyiv,State institutions,DDoS attack,"Government,Administration, Authority, Government, Public sector"
198,2022-02-23,Ukraine,Missing,Missing,Government,Wiper,"Government,Administration, Authority, Government, Public sector"
199,2022-02-23,United Kingdom,Blackburn,Blackburn,Wallpaper,In process of analysis,"England, Lancashire, United Kingdom,Graham & Brown Ltd"
200,2022-02-23,USA,Santa Clara CA,CA,Chip manufacturer,In process of analysis,"California,Nvidia Corporation"
201,2022-02-24,Germany,Köthen,ST,University of applied sciences,In process of analysis,"Saxony-Anhalt, Anhalt-Bitterfeld district, Kothen, College, University, Research,Hochschule Anhalt,KOthen"
202,2022-02-24,Germany,Missing,Missing,Wind turbines,In process of analysis,
204,2022-02-24,France,Paris,Paris,Learning environment,In process of analysis,Espace numérique de travail (ENT)
